Liczba prób	Czas	Logarytm Czasu
2^0		5.980000014460529e-05	-14.02949498652478
2^1		3.779999997277628e-05	-14.6912542410295
2^2		3.770000012082164e-05	-14.695075946319298
2^3		3.990000004705507e-05	-14.613251726287784
2^4		4.669999998441199e-05	-14.386217924983432
2^5		6.460000008701172e-05	-13.918106307574401
2^6		0.00010279999992235389	-13.247872116107343
2^7		0.002110099999981685	-8.888472913189785
2^8		0.00485290000005989	-7.68693715274957
2^9		0.01657629999999699	-5.91473417132202
2^10		0.028082300000050964	-5.15419508950333
2^11		0.1261620000000221	-2.9866506589484336
2^12		0.6127819000000727	-0.706554410492938
2^13		2.943591799999922	1.5575776208014906
2^14		25.00287789999993	4.644022257498705
