Liczba prób	Czas	Logarytm Czasu
2^0		5.999999984851456e-05	-14.02467797735811
2^1		3.8200000062715844e-05	-14.676067833807206
2^2		5.000000010113581e-05	-14.287712376631287
2^3		5.2599999889935134e-05	-14.214577677938056
2^4		5.109999983687885e-05	-14.25631718787928
2^5		7.899999991423101e-05	-13.627787822713382
2^6		0.00010739999993347737	-13.184718387119716
2^7		0.0021116000000347412	-8.887447713517172
2^8		0.004865900000140755	-7.68307761312875
2^9		0.012007699999912802	-6.379896351511336
2^10		0.027775899999824105	-5.170022530932746
2^11		0.1209003000001303	-3.0481102704147736
2^12		0.5893956000002163	-0.7626918044993584
2^13		2.8965473999999176	1.5343342739119428
2^14		26.470012400000087	4.726286965558016
