Liczba prób	Czas	Logarytm Czasu
2^0		0.00013159999980416615	-12.891552892623169
2^1		7.80000000304426e-05	-13.646166349898856
2^2		7.580000010420918e-05	-13.68744262405704
2^3		6.3500000123895e-05	-13.942883879737163
2^4		0.0001548000000184402	-12.657306907895268
2^5		0.00010439999982736481	-13.225590670027284
2^6		0.00010780000002341694	-13.17935520114564
2^7		0.01864749999981541	-5.74487396302765
2^8		0.02509090000012293	-5.3166919692298364
2^9		0.012834399999974266	-6.283840337359241
2^10		0.027765199999976176	-5.170578401699049
2^11		0.14794260000007853	-2.7568905592895394
2^12		0.6218506999998681	-0.685359849297915
2^13		2.9675150000000485	1.5692553223258139
2^14		25.192610599999853	4.654928724880287
