Liczba prób	Czas	Logarytm Czasu
2^0		6.0200000007171184e-05	-14.019876987279977
2^1		3.8599999925281736e-05	-14.66103962973609
2^2		3.670000000965956e-05	-14.733860410988601
2^3		3.909999986717594e-05	-14.64247187180507
2^4		4.830000011679658e-05	-14.337617281887113
2^5		6.220000000212167e-05	-13.972725894031722
2^6		0.00011280000012448	-13.113945310220663
2^7		0.0020985999999538762	-8.89635707423778
2^8		0.0048359999998410785	-7.69197004012246
2^9		0.011848700000200552	-6.39912740965094
2^10		0.03308839999999691	-4.917530658410721
2^11		0.11895759999993061	-3.0714806488329987
2^12		0.5935813000000962	-0.7524824524267607
2^13		2.910290100000111	1.5411629692749123
2^14		30.849492900000087	4.9471748696212785
