Liczba prób	Czas	Logarytm Czasu
2^0		0.0008438000004389323	-10.210811291241717
2^1		0.0011436999993748032	-9.772075612068305
2^2		0.0012003000010736287	-9.702389248854335
2^3		0.0012944000045536086	-9.593500766706258
2^4		0.0015055000039865263	-9.375541572779277
2^5		0.0018475999968359247	-9.080131835833162
2^6		0.004079099999216851	-7.937533409400771
2^7		0.23693869999988237	-2.077414236798769
2^8		0.2740759000007529	-1.8673526199816215
2^9		0.7487200000032317	-0.41750180227962774
2^10		1.8363838000004762	0.8768676102177719
2^11		6.75301269999909	2.755531270708616
2^12		34.474371799995424	5.107452357742248
2^13		154.1156673000005	7.267869722536351
2^14		1250.3285971000005	10.288091582034994
