Liczba prób	Czas	Logarytm Czasu
2^0		8.499999967170879e-05	-13.52217763875852
2^1		5.970000347588211e-05	-14.03190945894945
2^2		5.889999738428742e-05	-14.051372904450272
2^3		6.299999949987978e-05	-13.95428865727697
2^4		7.840000034775585e-05	-13.638786813697022
2^5		0.00011589999485295266	-13.07483187727426
2^6		0.0002057999954558909	-12.24646942917259
2^7		0.07533159999729833	-3.7306010181548417
2^8		0.2698896000001696	-1.8895587102176905
2^9		0.04604760000074748	-4.440730224712186
2^10		0.23042030000215163	-2.117660271239436
2^11		0.2620048000026145	-1.9323348522981696
2^12		1.360785600001691	0.4444397794207627
2^13		5.978585700002441	2.579804239454534
2^14		51.66932349999843	5.691236089747743
