Liczba prób	Czas	Logarytm Czasu
2^0		0.0018057999986922368	-9.1131461686279
2^1		0.0016663999995216727	-9.229049540585004
2^2		0.0019956999967689626	-8.968889420551703
2^3		0.0021466000034706667	-8.86373089960032
2^4		0.00275060000421945	-8.50603792831811
2^5		0.004009700001915917	-7.962289983627435
2^6		0.007695699998294003	-7.021731725082398
2^7		0.4303864999965299	-1.2162952695335192
2^8		0.547669899999164	-0.8686215030278316
2^9		1.3877281000022776	0.4727249258378045
2^10		3.3421334000013303	1.7407693191798992
2^11		13.277947399998084	3.730960236698744
2^12		62.39430720000382	5.96334249979245
2^13		298.8412670000034	8.2232355734622
2^14		2468.550556999995	11.269448477071972
