Liczba prób	Czas	Logarytm Czasu
2^0		0.00023599999985890463	-12.048925520824865
2^1		0.00019299999985378236	-12.339111533149087
2^2		0.00020419999782461673	-12.257729528703052
2^3		0.00022760000138077885	-12.10121181315257
2^4		0.0002728000035858713	-11.839868716223586
2^5		0.0004158000010647811	-11.231822617658711
2^6		0.0008340999993379228	-10.22749202237775
2^7		0.11605640000198036	-3.107102011700638
2^8		0.2304675999985193	-2.1173641494691178
2^9		0.14323659999354277	-2.80352791595482
2^10		0.3464266000009957	-1.5293783847529554
2^11		1.5224840000009863	0.6064270667256814
2^12		6.112365299995872	2.611730767317352
2^13		30.743005699994683	4.9421863170563345
2^14		253.65312569999514	7.98671312830054
