Liczba prób	Czas	Logarytm Czasu
2^0		0.00013600000238511711	-12.844105702772389
2^1		0.00011129999620607123	-13.133258836047316
2^2		0.00011180000001331791	-13.126792191196488
2^3		0.00012190000416012481	-13.002014204355957
2^4		0.00015870000061113387	-12.621410245820716
2^5		0.00022259999968810007	-12.133258788891034
2^6		0.00043849999929079786	-11.155135539212765
2^7		0.07397879999916768	-3.7567442908982565
2^8		0.0735830999983591	-3.7644817325716144
2^9		0.08386320000136038	-3.575818309053657
2^10		0.18762989999959245	-2.4140383462243187
2^11		0.6883659000013722	-0.5387524633974184
2^12		3.0351207999992766	1.6017539379279635
2^13		15.398443700003554	3.9447126419279153
2^14		128.59692840000207	7.006712373381432
